chinese,pinyin,pali,sanskrit,context,category,notes,source,trans_known,added_by
開示,,,,,,,S01,giving discourses,pai8788@gmail.com
《子必依論》,,,,,,,S01,Dharma That Every Buddhist Must Follow,pai8788@gmail.com
法王,,,,,,,S01,Dharma King,pai8788@gmail.com
格西,,,,,,,S01,Geshe,pai8788@gmail.com
大善根者,,,,,,,S01,deep roots of goodness,pai8788@gmail.com
迴光返照；反省,,,,,,,S01,look within oneself; introspect; reflect upon oneself,pai8788@gmail.com
魔的使者,,,,,,,S01,servants of Mara,pai8788@gmail.com
因果,,,,,,,S01,cause and effect; the principle of cause and effect,pai8788@gmail.com
教化,,,,,,,S01,teach; teachings/education/edification;,pai8788@gmail.com
殊勝緣起,,,,,,,S01,special circumstances,pai8788@gmail.com
密法,,,,,,,S01,tantra,pai8788@gmail.com
戒律,,,,,,,S01,rules p62; precepts; discipline,pai8788@gmail.com
（產生/得到)受用,,,,,,,S01,be of use p62; beneficial; of benefit; of usefulness; produce/result in/bring about/generate/experience/receive benefits/beneficial effects/results,pai8788@gmail.com
沒有受用；無益,,,,,,,S01,be of no use; produce no real benefits/results; of no benefit; useless; ineffective,pai8788@gmail.com
參悟,,,,,,,S01,study? p62;,pai8788@gmail.com
修行,,,,,,,S01,cultivation,pai8788@gmail.com
修行人,,,,,,,S01,cultivator; practitioner,pai8788@gmail.com
無始劫以來,,,,,,,S01,throughout countlss eons; from beginningless time; (of the infinite past無始以來）,pai8788@gmail.com
因緣成熟,,,,,,,S01,the ripening of the conditions; the conditions for retribution are ripe; the maturing of certain causes and conditions,pai8788@gmail.com
九住,,,,,,,S01,the ninth stage of meditation,pai8788@gmail.com
法寶,,,,,,,S01,Dharma treasures,pai8788@gmail.com
大事因緣,,,,,,,S01,the condition of a significant event,pai8788@gmail.com
無上大法,,,,,,,S01,the supreme Great Dharma,pai8788@gmail.com
魔,,,,,,,S01,demon,pai8788@gmail.com
仰諤益西諾布大法王,,,,,,,S01,Great Dhama King Yangwo Yisinubu,pai8788@gmail.com
《解脫大手印》,,,,,,,S01,The Mahamudra of Liberation,pai8788@gmail.com
法身境,,,,,,,S01,the Dharma body state,pai8788@gmail.com
大圓滿,,,,,,,S01,the Great Perfection,pai8788@gmail.com
成就解脫；解脫成就,,,,,,,S01,obtain/attain accomplishment and liberation,pai8788@gmail.com
佛弟子；佛門弟子,,,,,,,S01,Buddhist disciples; disciples,pai8788@gmail.com
依止,,,,,,,S01,rely on,pai8788@gmail.com
佛法,,,,,,,S01,Buddha Dharma,pai8788@gmail.com
菩提道果,,,,,,,S01,,pai8788@gmail.com
菩提道上,,,,,,,S01,walking on the Bodhisattva path,pai8788@gmail.com
了生脫死；了脫生死；解脫生死；生死解脫；生死自由,,,,,,,S01,attain liberation from the cycle of birth and death; liberate/extricate/free oneself from the cycle of birth and death; end the cycle of....; be liberated from....; attain control over one's own life and death,pai8788@gmail.com
成就,,,,,,,S01,be/become/get accomplished; attain accomplishment,pai8788@gmail.com
甚深佛法,,,,,,,S01,deep; deep and profound Buddha Dharma,pai8788@gmail.com
《瑜伽根本法》,,,,,,,S01,Essential Yoga Dharma,pai8788@gmail.com
萬法之母,,,,,,,S01,the mother of all Dharmas,pai8788@gmail.com
萬法之母之母,,,,,,,S01,the mother of the mother all Dharmas,pai8788@gmail.com
依怙,,,,,,,S01,rely on; to fall back upon,pai8788@gmail.com
登彼岸；到達彼岸,,,,,,,S01,reach/arrive at the other shore; attain/accomplish/achievce/obtain nirvana,pai8788@gmail.com
（未來）獅子吼佛,,,,,,,S01,the (future) Lion's Roar Buddha,pai8788@gmail.com
教戒,,,,,,,S01,teachings and precepts,pai8788@gmail.com
虔誠；真誠,,,,,,,S01,devout/pious/sincere; devoutness/piety/sincerity;,pai8788@gmail.com
多生累劫,,,,,,,S01,previous lives stretching over eons of time; throughout/over many lives and eons; from many previous lives,pai8788@gmail.com
深厚善根；善根深厚,,,,,,,S01,have deep roots of goodness,pai8788@gmail.com
高僧大德；大德,,,,,,,S01,great virtuous ones and eminent monks; the Great Virtuous Ones,pai8788@gmail.com
加持；無量加持,,,,,,,S01,empower; bless; receive empowerment; limitless/unlimited empowerment,pai8788@gmail.com
灌頂,,,,,,,S01,receive initiation; being initiated; conduct/perform initiations,pai8788@gmail.com
（真正）金剛上師,,,,,,,S01,(true) Vajra Master,pai8788@gmail.com
身口意三業,,,,,,,S01,"three karmas of body (conduct/actions), speech (words), and mind (thoiughts)",pai8788@gmail.com
三業相應,,,,,,,S01,three karmas correspond with the teachings of (Vajra Master/Buddha),pai8788@gmail.com
(增益/增加/得)福報,,,,,,,S01,(increase/attain) good fortune/blessings,pai8788@gmail.com
功德,,,,,,,S01,merit,pai8788@gmail.com
壇場,,,,,,,S01,altar; at the Buddhist altar,pai8788@gmail.com
正知正見,,,,,,,S01,correct view and understanding,pai8788@gmail.com
頂禮膜拜,,,,,,,S01,bow with palms joined; prostrate and worship; prostrate oneself in worship,pai8788@gmail.com
戒條戒規,,,,,,,S01,precepts and rules,pai8788@gmail.com
頓悟法門,,,,,,,S01,a sudden awareness of the Dharma; sudden awareness; quickly awaken,pai8788@gmail.com
（誓）守戒律,,,,,,,S01,(vow to) abide by precepts and discipline;,pai8788@gmail.com
懺悔,,,,,,,S01,remorseful; repent; repentance; contritions,pai8788@gmail.com
做佛事,,,,,,,S01,do things in furtherance of Buddhism; further Buddhist affairs; handle/perform/do Buddhist affairs/matters/acts,pai8788@gmail.com
學佛如初，成就有餘,,,,,,,S01,"If one could continue to practice Buddhism just as one did in the beginning, then one could attain liberation.",pai8788@gmail.com
學佛,,,,,,,S01,learn and practice Buddhism; learn and practice Buddhism; learn from Buddha,pai8788@gmail.com
純净心,,,,,,,S01,a pure heart; pure mind?,pai8788@gmail.com
出離心,,,,,,,S01,have a heart/intent/mind for liberation; an intent to leave samsara; a mind determined to break away from samsara,pai8788@gmail.com
上乘根器,,,,,,,S01,practitioners with superior faculties,pai8788@gmail.com
金剛阿闍黎,,,,,,,S01,Vajra Acarya Master,pai8788@gmail.com
證道（者）；得道；覺；覺果；實證；證得實相,,,,,,,S01,(one who) realizes/attains/achieves enlightenment; the realization of the truth; true realization/attainment/accomplishment; realize the state of reality,pai8788@gmail.com
受戒,,,,,,,S01,receive the precepts,pai8788@gmail.com
入佛道,,,,,,,S01,walk the Buddhist path,pai8788@gmail.com
無常心,,,,,,,S01,have a heart to undersatand impermanence; have a mind aware of impermanence,pai8788@gmail.com
佈畏境,,,,,,,S01,fear horrible state?79頁/p68; ,pai8788@gmail.com
無間苦,,,,,,,S01,endless sufferings; constant sufferings,pai8788@gmail.com
六道火輪,,,,,,,S01,the fire wheel/the flaming wheel of the six realms (of existence and constant sufferings),pai8788@gmail.com
立誓,,,,,,,S01,vow; make a vow; make vows,pai8788@gmail.com
我執私慾,,,,,,,S01,egocentric thoughts and selfish desires,pai8788@gmail.com
漏業惡習,,,,,,,S01,negative karma and bad practice,pai8788@gmail.com
(修習)忍辱,,,,,,,S01,(practice) enduring insults; edure (tolerate/bear/suffer wrongs),pai8788@gmail.com
無上涅槃,,,,,,,S01,(attain/achieve/accomplish) supreme/ultimate nirvana,pai8788@gmail.com
四無量心（慈悲喜捨）,,,,,,,S01,"four limitless states of mind; the immeasurable loving-kindness, compassion, sympathetic joy and equanimity",pai8788@gmail.com
無量功德（福報）,,,,,,,S01,limitless/unlimited/immeasurable merit,pai8788@gmail.com
不殺生,,,,,,,S01,not to kill (living beings),pai8788@gmail.com
師兄弟,,,,,,,S01,fellow disciples; fellow brothers,pai8788@gmail.com
做功課,,,,,,,S01,meditate; practice Dharma; do daily meditation; do daily Dharma practice,pai8788@gmail.com
(打)妄語,,,,,,,S01,lie; deceive; tell lies; utter lies; speak falsely; speak/fabricate falsehoods; speak untrue words; make up lies; (Vajra Master or Buddhas and Bodhisattvas),pai8788@gmail.com
違背佛法,,,,,,,S01,violate the Buddha Dharma,pai8788@gmail.com
相信；明信；誠信,,,,,,,S01,believe in; clearly believe in; sincerely believe in,pai8788@gmail.com
因果業報；業報,,,,,,,S01,karmic retribution,pai8788@gmail.com
邪門歪道；歪門邪道,,,,,,,S01,evil ways,pai8788@gmail.com
邪見,,,,,,,S01,harbor evil views,pai8788@gmail.com
立宗傳人,,,,,,,S01,being an heir to a sect's spiritual legacy,pai8788@gmail.com
嫡傳弟子,,,,,,,S01,disciple by direct line,pai8788@gmail.com
行道,,,,,,,S01,the Buddha path; walk on the path of truth; walk on the spiritual path of truth,pai8788@gmail.com
神通廣大,,,,,,,S01,have vast supernormal powers,pai8788@gmail.com
法力無邊,,,,,,,S01,possess unlimited Dharma powers,pai8788@gmail.com
